Data Source;World Development Indicators;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22;_23;_24;_25;_26;_27;_28;_29;_30;_31;_32;_33;_34;_35;_36;_37;_38;_39;_40;_41;_42;_43;_44;_45;_46;_47;_48;_49;_50;_51;_52;_53;_54;_55;_56;_57;_58;_59;_60;_61;_62;_63;_64;_65;_66;_67;_68
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;08/04/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;GDP (current US$);NY.GDP.MKTP.CD;4,21E+14;4,95E+14;5,77E+14;5,70E+14;6,07E+14;6,18E+14;7,26E+14;7,15E+14;7,29E+14;8,46E+14;9,26E+14;1,10E+14;1,21E+13;1,72E+14;1,66E+14;7,81E+14;1,05E+14;1,43E+14;1,64E+14;2,22E+14;2,96E+14;3,52E+14;1,97E+14;2,06E+14;2,00E+14;1,79E+14;1,92E+14;2,26E+14;2,62E+14;3,01E+14;3,34E+14;3,82E+14;4,65E+14;4,99E+14;5,74E+14;7,38E+14;7,86E+14;8,57E+13;8,20E+14;7,56E+14;7,83E+13;7,16E+14;7,03E+14;7,65E+14;9,91E+14;1,22E+14;1,54E+14;1,72E+14;1,80E+14;1,72E+14;2,17E+14;2,51E+13;2,67E+14;2,77E+14;2,60E+14;2,42E+14;2,49E+14;2,76E+14;2,96E+14;2,78E+14;2,54E+14;3,15E+14;3,01E+14;3,36E+14;3,30E+14;;
China;CHN;GDP (current US$);NY.GDP.MKTP.CD;5,98E+14;5,02E+14;4,73E+14;5,08E+14;5,98E+14;7,06E+14;7,69E+13;7,30E+14;7,10E+14;7,98E+14;9,28E+14;1,00E+15;1,14E+14;1,39E+11;1,44E+14;1,64E+14;1,54E+14;1,75E+14;1,50E+14;1,79E+14;1,91E+11;1,96E+14;2,05E+14;2,31E+14;2,60E+14;3,10E+13;3,01E+14;2,73E+14;3,13E+14;3,48E+14;3,62E+14;3,85E+14;4,29E+14;4,47E+14;5,67E+14;7,38E+13;8,69E+14;9,68E+14;1,04E+14;1,10E+14;1,22E+14;1,36E+14;1,49E+14;1,68E+14;1,98E+14;2,32E+14;2,79E+14;3,60E+14;4,67E+14;5,19E+14;6,19E+14;7,67E+14;8,67E+14;9,74E+14;1,07E+14;1,13E+14;1,15E+13;1,25E+14;1,41E+14;1,46E+14;1,50E+14;1,82E+13;1,83E+14;1,83E+14;1,87E+14;;
Cote d'Ivoire;CIV;GDP (current US$);NY.GDP.MKTP.CD;5,46E+14;6,18E+14;6,45E+14;7,61E+14;9,21E+14;9,20E+14;1,02E+14;1,08E+14;1,28E+14;1,36E+14;1,46E+14;1,58E+14;1,85E+14;2,51E+14;3,07E+14;3,89E+14;4,66E+14;6,27E+14;7,90E+14;9,14E+14;1,02E+14;8,43E+14;7,57E+14;6,84E+14;6,84E+13;6,98E+14;9,16E+14;1,01E+14;1,03E+14;9,76E+13;1,08E+13;1,05E+14;1,12E+14;1,10E+14;8,31E+14;1,10E+14;1,81E+14;1,80E+14;1,96E+13;1,89E+13;1,66E+14;1,68E+14;1,81E+14;2,13E+14;2,35E+14;2,40E+14;2,53E+14;2,88E+14;3,41E+14;3,39E+14;3,49E+13;3,67E+14;3,63E+14;4,28E+14;4,88E+14;4,58E+14;4,84E+14;5,25E+12;5,85E+14;6,04E+14;6,30E+14;7,28E+14;7,09E+14;8,08E+14;8,71E+13;;
Cameroon;CMR;GDP (current US$);NY.GDP.MKTP.CD;6,14E+14;6,53E+14;6,94E+12;7,18E+14;7,77E+14;8,14E+14;8,51E+14;9,36E+14;1,05E+14;1,10E+14;1,15E+14;1,24E+14;1,50E+14;1,90E+14;2,16E+14;2,86E+14;2,90E+13;3,39E+14;4,66E+14;5,92E+12;6,67E+13;6,61E+13;6,61E+14;6,87E+14;7,31E+14;8,54E+13;1,19E+14;1,30E+14;1,22E+14;1,10E+14;1,23E+14;1,18E+14;1,21E+14;1,62E+14;8,90E+14;1,09E+14;1,11E+14;1,08E+14;1,13E+14;1,16E+14;1,06E+14;1,10E+14;1,24E+14;1,60E+14;1,88E+14;1,95E+14;2,09E+13;2,39E+14;2,77E+13;2,79E+13;2,75E+14;3,06E+13;3,02E+14;3,37E+14;3,64E+14;3,22E+14;3,38E+14;3,61E+14;4,00E+13;3,97E+14;4,08E+14;4,50E+14;4,43E+14;4,88E+14;5,33E+14;;
Congo, Dem. Rep.;COD;GDP (current US$);NY.GDP.MKTP.CD;3,36E+14;3,09E+14;3,78E+14;6,21E+14;2,88E+14;4,04E+14;4,53E+14;3,38E+14;3,91E+14;5,03E+14;4,88E+14;5,59E+14;6,17E+14;7,87E+14;9,60E+14;1,02E+14;9,65E+14;1,23E+14;1,54E+14;1,51E+14;1,44E+14;1,25E+14;1,37E+14;1,10E+14;7,86E+14;7,20E+13;8,10E+14;7,66E+14;8,86E+14;9,02E+14;9,35E+14;9,63E+14;8,23E+14;1,07E+14;5,82E+14;5,64E+14;5,77E+13;6,09E+14;6,22E+14;4,71E+14;1,91E+14;7,44E+14;8,73E+14;8,94E+14;1,03E+13;1,26E+14;1,55E+14;1,84E+14;2,27E+14;1,86E+14;2,42E+14;2,64E+13;3,00E+14;3,49E+14;3,84E+14;4,02E+14;3,86E+14;3,75E+14;4,67E+14;4,68E+14;4,67E+14;5,91E+14;7,04E+14;6,98E+14;7,10E+14;;
Congo, Rep.;COG;GDP (current US$);NY.GDP.MKTP.CD;1,32E+14;1,52E+14;1,67E+14;1,72E+14;1,86E+14;1,98E+14;2,21E+14;2,37E+13;2,51E+14;2,65E+14;2,75E+14;3,22E+14;4,11E+14;5,42E+14;5,85E+14;7,67E+14;7,55E+14;7,65E+14;8,79E+14;1,20E+14;1,71E+14;1,99E+14;2,16E+14;2,10E+14;2,19E+14;2,16E+14;1,85E+14;2,30E+14;2,21E+14;2,39E+14;2,80E+14;2,72E+14;2,93E+13;2,68E+14;1,77E+14;2,12E+14;2,54E+14;2,32E+13;1,95E+14;2,35E+14;3,23E+14;2,80E+14;3,03E+14;3,50E+14;4,66E+14;6,65E+14;8,07E+14;8,78E+14;1,16E+14;9,72E+14;1,31E+14;1,57E+14;1,77E+14;1,80E+14;1,79E+14;1,24E+14;1,09E+14;1,18E+14;1,48E+14;1,40E+14;1,15E+14;1,48E+14;1,58E+14;1,53E+14;1,57E+14;;
Colombia;COL;GDP (current US$);NY.GDP.MKTP.CD;4,03E+14;4,54E+14;4,96E+14;4,84E+14;5,97E+14;5,76E+13;5,43E+14;5,83E+14;5,96E+14;6,45E+14;7,20E+14;7,82E+14;8,67E+14;1,03E+14;1,24E+14;1,31E+14;1,53E+14;1,95E+14;2,33E+14;2,79E+14;3,34E+14;3,64E+14;3,90E+13;3,87E+14;3,83E+14;3,49E+13;3,49E+14;3,64E+14;3,92E+14;3,95E+14;4,78E+14;4,92E+14;5,84E+14;6,64E+14;8,17E+14;9,25E+14;9,72E+14;1,07E+14;9,84E+14;8,62E+14;9,99E+14;9,82E+14;9,79E+14;9,46E+14;1,17E+14;1,46E+14;1,62E+14;2,06E+14;2,43E+14;2,32E+14;2,86E+14;3,35E+14;3,71E+14;3,82E+14;3,81E+14;2,93E+14;2,83E+14;3,12E+14;3,34E+14;3,23E+13;2,70E+14;3,19E+14;3,46E+14;3,66E+14;4,19E+14;;
Comoros;COM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;2,43E+14;2,13E+14;2,02E+13;1,96E+14;1,89E+14;1,92E+14;2,58E+14;3,13E+14;3,36E+14;3,29E+14;4,02E+14;4,01E+14;4,37E+14;4,28E+13;3,15E+14;3,93E+14;3,92E+14;3,63E+14;3,64E+14;3,72E+14;3,40E+14;3,73E+14;4,27E+14;5,47E+14;6,23E+13;6,55E+14;6,88E+14;7,96E+14;9,16E+14;9,05E+13;9,08E+14;1,02E+14;1,02E+14;1,12E+14;1,15E+14;9,66E+14;1,01E+14;1,08E+14;1,18E+14;1,19E+14;1,22E+14;1,27E+14;1,22E+14;1,33E+14;1,44E+14;;
Cabo Verde;CPV;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;1,42E+14;1,39E+14;1,41E+14;1,38E+14;1,32E+14;1,38E+14;1,91E+14;2,35E+13;2,64E+14;2,67E+14;3,07E+14;3,20E+14;3,57E+14;4,90E+14;4,07E+14;4,87E+14;5,02E+14;4,91E+14;5,22E+14;5,92E+14;5,39E+14;5,63E+14;6,21E+14;8,13E+14;9,25E+14;9,72E+14;1,11E+14;1,65E+14;1,96E+14;1,85E+14;1,82E+14;2,05E+14;1,91E+14;2,03E+14;2,04E+14;1,75E+14;1,85E+14;2,00E+14;2,21E+14;2,25E+14;1,82E+14;2,05E+14;2,25E+14;2,50E+14;2,73E+14;;
Costa Rica;CRI;GDP (current US$);NY.GDP.MKTP.CD;5,08E+14;4,90E+14;4,79E+14;5,12E+14;5,43E+14;5,93E+14;6,47E+14;6,99E+14;7,74E+14;8,54E+14;9,85E+14;1,08E+14;1,24E+14;1,53E+14;1,67E+14;1,96E+13;2,41E+14;3,07E+14;3,52E+14;4,04E+14;4,83E+14;2,62E+14;2,61E+14;3,15E+14;3,66E+14;3,92E+14;4,42E+14;4,53E+14;4,61E+14;5,25E+14;5,71E+14;7,22E+14;8,58E+14;9,56E+14;1,05E+14;1,16E+14;1,17E+14;1,26E+14;1,37E+14;1,43E+14;1,50E+14;1,60E+14;1,66E+14;1,73E+14;1,86E+14;2,00E+14;2,27E+14;2,69E+14;3,08E+14;3,07E+14;3,77E+14;4,28E+14;4,72E+14;5,09E+14;5,20E+14;5,64E+14;5,88E+14;6,05E+14;6,24E+14;6,44E+14;6,24E+14;6,50E+14;6,92E+14;8,65E+14;9,54E+14;;
Caribbean small states;CSS;GDP (current US$);NY.GDP.MKTP.CD;1,17E+14;1,27E+14;1,36E+14;1,45E+14;1,55E+13;1,66E+14;1,76E+14;1,93E+14;1,98E+14;2,15E+14;2,27E+14;2,46E+14;2,73E+13;3,17E+14;4,20E+14;4,82E+14;4,94E+14;5,94E+14;6,78E+14;8,41E+13;1,09E+14;1,20E+14;1,33E+14;1,32E+14;1,37E+13;1,38E+14;1,18E+14;1,23E+14;1,27E+14;1,26E+14;1,36E+14;1,39E+14;1,42E+13;1,38E+14;1,48E+14;1,57E+14;1,69E+14;2,01E+13;2,16E+14;2,34E+14;2,56E+14;2,65E+14;2,77E+14;3,06E+14;3,36E+14;3,82E+14;4,43E+14;4,97E+14;5,73E+14;4,79E+14;5,30E+14;5,68E+14;6,04E+14;6,21E+14;6,41E+14;6,25E+14;5,81E+14;5,97E+14;6,13E+14;6,22E+14;5,33E+14;6,27E+14;7,85E+14;7,95E+13;9,03E+14;;
Cuba;CUB;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;5693005200;6914658400;8,14E+14;9,99E+14;1,14E+14;1,30E+14;1,38E+14;1,42E+14;1,78E+14;1,96E+14;1,99E+14;2,02E+14;2,10E+14;2,22E+14;2,40E+14;2,29E+13;2,42E+14;2,52E+14;2,75E+14;2,70E+14;2,86E+14;2,43E+14;2,21E+14;2,24E+14;2,84E+14;3,04E+14;25017368700;25365908100;25736331200;28364615200;30565400000;31682400000;33590500000;35901200000;38203000000;42643836100;4,88E+14;5,43E+14;5,63E+14;5,75E+14;5,96E+13;68990000000;73141000000;77148000000;80656100000;87132800000;91370407900;96850649700;1,00E+11;1,03E+11;1,07E+11;;;;;;
Curacao;CUW;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,12E+14;2,14E+14;2,16E+14;2,20E+14;2,24E+13;2,34E+14;2,46E+14;2,59E+14;2,83E+13;2,87E+14;2,95E+14;2,93E+14;3,01E+14;3,03E+14;3,06E+14;3,06E+14;3,02E+14;3,03E+14;3,05E+14;3,03E+14;2,53E+14;2,74E+13;3,08E+14;3,28E+14;3,56E+14;;
Cayman Islands;CYM;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,20E+14;4,47E+14;4,59E+14;4,28E+14;4,16E+14;4,19E+14;4,29E+14;4,41E+14;4,56E+14;4,71E+14;4,91E+14;5,17E+14;5,53E+14;5,94E+14;5,66E+14;6,06E+14;6,66E+14;7,24E+14;;;
Cyprus;CYP;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;4,90E+14;5,76E+14;7,35E+14;9,64E+13;1,29E+14;2,15E+14;2,09E+14;2,16E+14;2,16E+14;2,28E+14;2,43E+14;3,09E+14;3,70E+14;4,28E+14;4,56E+13;5,59E+14;5,77E+14;6,91E+14;6,59E+14;7,43E+14;9,93E+14;1,00E+14;9,55E+14;1,02E+14;1,05E+13;9,99E+14;1,04E+14;1,14E+14;1,45E+14;17320551250;1,84E+14;2,01E+14;2,40E+14;2,78E+13;2,60E+14;2,58E+14;2,76E+14;2,50E+14;2,40E+14;2,32E+14;1,99E+14;2,10E+14;2,29E+14;2,58E+14;2,62E+14;2,56E+14;3,04E+14;3,12E+14;3,51E+14;3,76E+14;;
Czechia;CZE;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,10E+14;3,01E+14;3,51E+14;4,12E+14;4,82E+14;6,06E+14;6,78E+14;6,25E+14;6,72E+14;6,56E+14;6,22E+14;6,81E+14;8,26E+13;1,00E+14;1,20E+14;1,37E+12;1,56E+14;1,90E+14;2,37E+13;2,07E+14;2,11E+13;2,31E+14;2,10E+14;2,13E+14;2,11E+14;1,89E+14;1,98E+14;2,22E+14;2,52E+14;2,57E+13;2,51E+14;2,91E+14;3,02E+14;3,45E+14;3,47E+14;;
Germany;DEU;GDP (current US$);NY.GDP.MKTP.CD;8,46E+14;9,66E+14;1,06E+14;1,12E+12;1,23E+14;1,35E+14;1,43E+14;1,45E+13;1,57E+14;1,78E+13;2,17E+14;2,51E+14;3,01E+14;4,00E+14;4,47E+14;4,92E+14;5,22E+14;6,03E+14;7,43E+14;8,85E+14;9,54E+14;8,03E+14;7,79E+14;7,74E+14;7,28E+14;7,35E+14;1,05E+13;1,30E+14;1,41E+14;1,40E+14;1,78E+14;1,88E+14;2,14E+14;2,08E+13;2,22E+14;2,59E+14;2,51E+14;2,22E+14;2,25E+14;2,21E+14;1,97E+13;1,97E+14;2,10E+14;2,53E+14;2,85E+14;2,89E+14;3,05E+14;3,48E+14;3,81E+12;3,48E+14;3,47E+14;3,82E+14;3,60E+14;3,81E+14;3,96E+14;3,43E+14;3,54E+12;3,77E+14;4,06E+14;3,96E+14;3,94E+14;4,36E+14;4,20E+14;4,56E+14;4,69E+14;;
Djibouti;DJI;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;3,41E+14;;3,73E+14;3,96E+14;4,09E+14;4,52E+14;4,62E+14;4,78E+14;4,66E+13;4,92E+14;4,98E+14;4,94E+13;5,03E+14;5,14E+14;5,36E+14;5,51E+14;5,72E+14;5,91E+14;6,22E+14;6,66E+14;7,09E+14;7,69E+14;8,48E+14;9,99E+14;1,05E+14;1,13E+13;1,24E+14;1,35E+13;2,04E+14;2,22E+14;2,42E+14;2,60E+14;2,76E+14;2,91E+14;3,09E+14;3,14E+13;3,39E+14;3,56E+14;3,90E+14;4,15E+14;;
Dominica;DMA;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;4,59E+14;5,71E+14;5,50E+14;7,28E+14;8,21E+14;8,95E+14;9,87E+14;1,09E+14;1,19E+14;1,35E+14;1,52E+14;1,71E+14;1,85E+14;2,01E+13;2,20E+14;2,34E+14;2,46E+14;2,64E+14;2,75E+14;2,92E+14;3,03E+14;3,22E+14;3,32E+14;3,33E+13;3,77E+14;375200000;3,73E+14;3,97E+14;3,91E+14;4,17E+14;4,45E+14;4,80E+14;5,16E+14;5,20E+14;5,32E+14;5,20E+14;5,45E+14;5,72E+14;5,83E+14;6,13E+14;5,63E+14;6,28E+14;6,44E+14;5,29E+14;5,63E+14;6,23E+14;6,59E+14;6,89E+14;;
Denmark;DNK;GDP (current US$);NY.GDP.MKTP.CD;6,36E+14;7,06E+14;7,95E+14;8,47E+14;9,68E+14;1,09E+14;1,19E+14;1,31E+14;1,35E+14;1,54E+14;1,71E+14;1,91E+14;2,32E+14;3,07E+14;3,41E+14;4,04E+14;4,45E+14;4,97E+14;6,03E+13;7,04E+13;7,08E+14;6,15E+14;6,01E+14;6,03E+14;5,89E+14;6,25E+14;8,77E+14;1,09E+14;1,16E+14;1,12E+14;1,38E+14;1,39E+14;1,53E+14;1,43E+14;1,56E+14;1,85E+14;1,87E+14;1,73E+14;1,77E+14;1,78E+14;1,64E+13;1,65E+14;1,79E+14;2,18E+14;2,52E+14;2,65E+14;2,83E+14;3,20E+14;3,55E+14;3,23E+14;3,22E+13;3,44E+14;3,27E+14;3,45E+13;3,53E+14;3,02E+14;3,12E+14;3,32E+14;3,55E+14;3,45E+14;3,56E+14;4,06E+14;4,00E+14;4,05E+14;4,25E+14;;
Dominican Republic;DOM;GDP (current US$);NY.GDP.MKTP.CD;672399700;654100200;824100000;940799900;1025599900;888100000;983900000;1034800000;1079100000;1230500000;1485500000;1666500000;1987400000;2344800000;2925700000;3599200000;3951500000;4587100000;4734400000;5498800000;6761300000;7561300000;8267400000;9220600000;11594000000;5,04E+14;6,12E+14;5,83E+14;5,37E+14;6,69E+14;7,07E+14;9,82E+14;11605382504;13081042400;1,46E+14;1,66E+14;1,82E+14;2,00E+14;2,17E+14;2,21E+14;2,43E+14;2,56E+14;2,71E+14;2,14E+14;2,23E+13;3,58E+14;3,79E+14;4,40E+14;4,81E+13;4,82E+14;5,38E+14;5,79E+13;6,06E+14;6,26E+13;6,70E+14;7,10E+14;7,56E+14;7,91E+14;8,50E+14;8,91E+13;7,85E+14;9,49E+14;1,13E+12;1,20E+14;1,24E+14;;
Algeria;DZA;GDP (current US$);NY.GDP.MKTP.CD;2,72E+14;2,43E+14;2,00E+14;2,70E+14;2,91E+13;3,14E+14;3,04E+14;3,37E+14;3,85E+14;4,26E+14;4,86E+14;5,08E+14;6,77E+14;8,71E+14;1,32E+14;1,56E+13;1,77E+14;2,10E+14;2,64E+14;3,32E+14;4,23E+14;4,43E+14;4,52E+14;4,88E+14;5,37E+14;5,79E+14;6,37E+14;6,67E+13;5,91E+14;5,56E+14;6,20E+14;4,57E+14;4,80E+14;4,99E+14;4,25E+14;4,18E+14;4,69E+14;4,82E+14;4,82E+14;4,86E+14;5,48E+14;5,94E+14;6,15E+14;7,35E+14;9,19E+14;1,07E+14;1,23E+13;1,42E+14;1,80E+14;1,50E+14;1,78E+14;2,18E+14;2,27E+14;2,30E+14;2,39E+13;1,87E+14;1,81E+14;1,90E+14;1,95E+14;1,93E+14;1,65E+14;1,86E+14;2,26E+14;2,48E+14;2,69E+14;;
East Asia & Pacific (excluding high income);EAP;GDP (current US$);NY.GDP.MKTP.CD;8,09E+14;7,12E+13;6,50E+14;7,03E+14;8,12E+14;9,46E+14;1,03E+14;1,00E+14;1,02E+14;1,14E+14;1,27E+14;1,37E+14;1,56E+14;1,96E+14;2,22E+14;2,49E+14;2,53E+14;2,92E+14;2,83E+14;3,28E+14;3,78E+14;4,04E+14;4,24E+14;4,44E+14;4,81E+14;5,27E+14;5,25E+14;5,19E+14;5,76E+14;6,23E+14;6,67E+14;7,25E+14;8,13E+14;8,92E+14;1,07E+14;1,33E+14;1,52E+14;1,58E+13;1,44E+14;1,59E+14;1,75E+14;1,86E+13;2,06E+14;2,34E+14;2,71E+14;3,14E+14;3,78E+14;4,79E+14;6,06E+14;6,58E+14;8,01E+14;9,77E+13;1,09E+14;1,20E+14;1,30E+14;1,35E+14;1,38E+14;1,51E+14;1,69E+14;1,75E+14;1,78E+14;2,12E+14;2,16E+14;2,16E+14;2,23E+14;;
Early-demographic dividend;EAR;GDP (current US$);NY.GDP.MKTP.CD;1,45E+14;1,58E+14;1,59E+14;1,76E+14;2,02E+14;2,19E+14;2,17E+14;2,29E+14;2,50E+13;2,79E+13;2,97E+14;3,20E+14;3,53E+14;4,51E+14;6,33E+14;6,77E+14;7,40E+14;8,27E+14;9,45E+14;1,11E+14;1,38E+14;1,53E+14;1,46E+13;1,47E+14;1,49E+14;1,49E+14;1,50E+14;1,52E+14;1,61E+13;1,63E+14;1,92E+14;2,03E+14;2,21E+14;2,38E+14;2,50E+14;2,62E+13;2,84E+14;3,03E+14;2,92E+14;3,09E+14;3,38E+14;3,35E+14;3,26E+14;3,62E+14;4,21E+14;4,90E+14;5,60E+14;6,63E+14;7,46E+14;7,18E+14;8,72E+14;9,83E+14;1,03E+14;1,03E+14;1,05E+14;1,01E+14;1,04E+14;1,13E+14;1,15E+14;1,17E+14;1,08E+14;1,27E+14;1,40E+14;1,49E+14;1,58E+14;;
East Asia & Pacific;EAS;GDP (current US$);NY.GDP.MKTP.CD;1,57E+14;1,59E+14;1,62E+14;1,81E+14;2,08E+14;2,31E+14;2,59E+14;2,81E+14;3,11E+13;3,59E+14;4,13E+14;4,59E+14;5,70E+14;7,52E+14;8,68E+14;9,50E+14;1,04E+14;1,24E+14;1,57E+14;1,71E+12;1,85E+14;2,04E+13;1,99E+14;2,12E+14;2,27E+14;2,39E+14;3,13E+14;3,67E+14;4,42E+14;4,60E+14;4,80E+14;5,43E+14;5,93E+14;6,64E+14;7,43E+14;8,43E+14;8,13E+13;7,77E+14;6,96E+14;7,77E+14;8,41E+14;7,83E+14;7,96E+13;8,75E+14;9,82E+14;1,05E+14;1,11E+14;1,24E+14;1,43E+14;1,48E+14;1,72E+14;2,00E+14;2,14E+14;2,17E+14;2,24E+14;2,23E+14;2,31E+14;2,47E+14;2,69E+14;2,74E+14;2,76E+14;3,17E+14;3,13E+14;3,14E+13;3,20E+13;;
Europe & Central Asia (excluding high income);ECA;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,35E+14;2,61E+14;2,96E+13;3,54E+14;3,41E+14;3,28E+14;3,39E+14;2,66E+14;3,74E+14;3,95E+14;4,21E+14;4,21E+14;3,84E+14;3,91E+13;3,36E+14;3,91E+14;4,98E+14;6,41E+14;7,99E+14;9,30E+13;1,17E+14;1,40E+12;1,17E+14;1,39E+14;1,57E+14;1,66E+14;1,81E+14;1,74E+14;1,51E+14;1,45E+13;1,50E+13;1,48E+14;1,51E+14;1,45E+14;1,68E+14;1,82E+14;2,14E+14;2,45E+14;;
Europe & Central Asia;ECS;GDP (current US$);NY.GDP.MKTP.CD;4,27E+14;4,70E+14;5,13E+14;5,61E+14;6,20E+14;6,77E+14;7,32E+14;7,77E+14;8,19E+14;9,08E+13;1,02E+14;1,15E+14;1,38E+14;1,76E+14;1,99E+14;2,32E+14;2,41E+14;2,73E+14;3,34E+14;4,08E+14;4,61E+14;4,11E+14;3,96E+14;3,84E+14;3,69E+14;3,82E+14;5,21E+14;6,43E+14;7,16E+14;7,26E+14;8,87E+14;9,14E+14;9,79E+14;9,00E+14;9,41E+14;1,09E+14;1,12E+14;1,06E+14;1,08E+14;1,07E+14;1,01E+14;1,02E+14;1,12E+14;1,36E+14;1,58E+14;1,68E+14;1,82E+14;2,13E+14;2,35E+14;2,06E+14;2,11E+14;2,34E+14;2,26E+14;2,36E+14;2,39E+13;2,06E+14;2,05E+14;2,18E+14;2,33E+14;2,31E+14;2,23E+14;2,56E+14;2,58E+14;2,77E+14;2,93E+14;;
Ecuador;ECU;GDP (current US$);NY.GDP.MKTP.CD;2,07E+14;1,75E+14;1,52E+14;1,82E+14;2,24E+14;2,39E+14;2,43E+12;2,55E+14;2,58E+14;3,11E+14;2,86E+14;2,75E+14;3,19E+14;3,89E+14;6,60E+14;7,73E+14;9,09E+14;1,10E+14;1,19E+14;1,42E+14;1,79E+14;2,18E+14;1,99E+14;1,72E+14;1,69E+13;1,71E+12;1,53E+14;1,39E+14;1,31E+14;1,39E+14;1,52E+14;1,70E+14;1,81E+14;1,89E+14;2,27E+14;2,44E+14;2,52E+14;2,82E+14;2,80E+14;1,96E+14;1,75E+14;23127055000;27054197000;30965208000;35194947000;40278849000;45690762000;49848725000;61139438000;60094978000;68151329000;78986648000;87735048000;96570334000;1,03E+11;97209558000;97671433000;1,04E+11;1,07E+11;1,08E+11;95865473000;1,07E+11;1,16E+11;1,21E+11;1,25E+11;;
Egypt, Arab Rep.;EGY;GDP (current US$);NY.GDP.MKTP.CD;4,21E+14;4,49E+14;4,04E+14;4,19E+14;4,71E+14;4,95E+14;5,28E+14;5,61E+14;5,93E+14;6,52E+14;8,04E+13;8,61E+14;9,30E+14;1,01E+14;9,23E+14;1,16E+14;1,33E+14;1,44E+14;1,48E+14;1,80E+14;2,17E+14;2,21E+14;2,77E+14;3,10E+14;3,40E+14;3,91E+14;4,13E+14;4,05E+14;3,50E+14;3,98E+14;4,30E+14;3,74E+14;4,19E+14;4,66E+13;5,19E+14;6,02E+14;6,76E+14;7,84E+14;8,48E+14;9,07E+14;9,98E+14;9,67E+14;8,51E+14;8,03E+14;7,88E+14;8,97E+14;1,07E+14;1,30E+14;1,63E+14;1,89E+14;2,19E+14;2,36E+14;2,79E+14;2,88E+14;3,06E+14;3,29E+14;3,32E+14;2,48E+13;2,63E+13;3,19E+14;3,84E+14;4,25E+14;4,77E+14;3,96E+14;3,89E+14;;
Euro area;EMU;GDP (current US$);NY.GDP.MKTP.CD;2,52E+14;2,80E+14;3,10E+14;3,41E+14;3,78E+13;4,13E+14;4,47E+14;4,74E+14;5,10E+14;5,70E+14;6,46E+14;7,32E+14;8,84E+14;1,15E+14;1,30E+13;1,51E+14;1,57E+14;1,79E+13;2,19E+14;2,66E+13;2,97E+14;2,58E+13;2,50E+14;2,44E+14;2,34E+14;2,40E+14;3,38E+14;4,18E+14;4,59E+14;4,69E+14;5,91E+14;6,13E+14;6,75E+14;6,18E+13;6,53E+13;7,54E+14;7,63E+14;6,98E+14;7,17E+14;7,15E+14;6,53E+14;6,63E+14;7,24E+14;8,92E+14;1,02E+14;1,06E+14;1,13E+14;1,30E+14;1,43E+14;1,31E+14;1,28E+14;1,38E+14;1,28E+14;1,34E+14;1,37E+13;1,18E+14;1,21E+14;1,28E+14;1,39E+14;1,36E+14;1,33E+14;1,49E+14;1,45E+14;1,59E+13;1,65E+13;;
Eritrea;ERI;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,77E+14;4,68E+14;5,32E+14;578015625;6,94E+14;6,86E+14;7,46E+14;6,89E+14;7,06E+14;7,52E+14;7,29E+14;8,70E+14;1,11E+14;1,10E+14;1,21E+13;1,32E+14;1380188800;1,86E+14;1,59E+14;2,07E+14;;;;;;;;;;;;;;;
