Code,Name,Year,GDP,GCF,POP,LIFE_EXP,GOV_EXP,TRADE,cdd,hd30,r20mm
ESP,Spain,1970,390882299704.606,87533731927.7591,1.11063144876766,72.0273170731707,9.87704424567708,25.8528842334683,158.97,34.83,4.6899999999999995
ESP,Spain,1971,409056269215.41,85563105518.1612,1.20508483293956,71.630243902439,10.049530314213,25.9266965745753,115.74,21.16,5.17
ESP,Spain,1972,442393315595.884,97934351087.2655,1.10413658971046,72.8180487804878,9.93255875234678,27.2143538211121,105.93,16.21,7.13
ESP,Spain,1973,476848965657.545,109723478429.19,1.1049376041377,72.6107317073171,9.91915629316991,28.141361461061,148.17,30.61,4.3500000000000005
ESP,Spain,1974,503642086898.715,120691373013.156,1.09260761038069,72.969756097561,10.3269007674831,31.7321293898947,150.32,28.49,4.51
ESP,Spain,1975,506372851132.131,115183514059.027,1.08129360308283,73.3187804878049,10.9062755845393,29.1198999357995,139.42000000000002,26.950000000000003,4.4
ESP,Spain,1976,523102353883.318,114027523257.731,1.05685172472306,73.6426829268293,11.7813226640236,30.1123441469801,138.89,23.47,4.03
ESP,Spain,1977,537951003182.771,109774598760.298,1.02913180859153,74.1319512195122,11.9957818536788,29.1985265451841,122.14,15.31,4.93
ESP,Spain,1978,545821244290.082,103753882764.974,0.96287655038845,74.2956097560976,12.4374194353449,27.7598226101619,167.63,30.97,3.75
ESP,Spain,1979,546048014004.367,101488074937.924,0.88158450134584,74.8187804878049,12.9610987079757,27.8704940660692,137.12,27.42,6.25
ESP,Spain,1980,558108729943.213,104141411733.51,0.802963561910836,75.3492682926829,13.6149850170981,31.5983694308493,138.82,35.87,3.97
ESP,Spain,1981,557369411137.954,95184754027.6859,0.710878010512537,75.5285365853659,14.551506258637,35.4228067524618,163.54,35.83,4.15
ESP,Spain,1982,564316807889.356,96576062679.7488,0.600390137240396,76.1341463414634,14.726289386147,36.5726058076023,150.05,32.82,4.72
ESP,Spain,1983,574305868927.187,94443603830.0179,0.487183210573659,75.9090243902439,15.1657588946148,39.817262967199,170.64,34.27,4.23
ESP,Spain,1984,584555434060.426,92812414411.9215,0.415255702373565,76.2953658536586,14.9280169581631,41.5938348404492,152.99,31.32,4.6499999999999995
ESP,Spain,1985,598125512978.773,97583562733.3627,0.362365564916491,76.259512195122,15.1968080535645,40.9180792623493,157.68,42.5,4.07
ESP,Spain,1986,617584460036.694,109360889216.079,0.298782366814399,76.5104878048781,15.0014802078968,35.3920090023813,138.47,36.46,3.67
ESP,Spain,1987,651842628032.117,123467542651.448,0.259329063201825,76.7280487804878,15.4982145235336,36.3648005439518,138.53,37.31,5.39
ESP,Spain,1988,685049604314.94,141787828291.228,0.212064999269184,76.7470731707317,15.3460781090367,36.7581428262889,163.29,34.03,3.97
ESP,Spain,1989,718117156374.292,158152671105.431,0.156776197618463,76.8136585365854,15.8464693418135,37.4285579561832,140.81,39.26,5.9
ESP,Spain,1990,745271992216.377,168027493987.735,0.101828842607043,76.8375609756098,16.2604876033915,35.652904977259,149.65,39.62,2.74
ESP,Spain,1991,764246620838.292,170459389839.808,0.254527424551043,76.9712195121951,16.9330359384278,35.5206586037759,156.12,45.83,3.83
ESP,Spain,1992,771348118766.823,164227449022.598,0.48975790543999,77.41,17.8184496597917,36.020774482446,164.37,33.14,5.0200000000000005
ESP,Spain,1993,763391725887.252,145258657613.197,0.518543520866421,77.5465853658537,18.3582972876489,36.9951619593819,161.16,31.04,3.53
ESP,Spain,1994,781584842222.945,150297811611.382,0.476100555169168,77.9014634146342,17.7745679967686,41.6958801099563,176.51,47.41,3.74
ESP,Spain,1995,803136997375.095,161711180529.077,0.441365749537872,77.9807317073171,17.6263799295614,44.8306279725111,159.03,33.48,4.16
ESP,Spain,1996,824078081163.909,165200530164.856,0.416515798212804,78.1204878048781,17.4964106465745,46.2977506718533,127.17,31.76,7.04
ESP,Spain,1997,853640231891.445,174178967559.015,0.41911951720212,78.6041463414634,17.0163650762759,51.2271398594527,138.92,26.19,6.68
ESP,Spain,1998,890363642200.019,194391689116.06,0.413847481113965,78.6658536585366,16.8709354002005,52.730313072059,176.52,42.31,2.86
ESP,Spain,1999,929618577227.575,214857383294.993,0.405323025522848,78.7170731707317,16.8040897651711,54.6969131882495,146.37,40.8,4.16
ESP,Spain,2000,977964704474.031,230280350498.791,0.447137014535835,78.9658536585366,16.7050924303047,60.1216241049216,158.53,43.79,4.24
ESP,Spain,2001,1016292009754.12,239006860612.476,0.694068084334464,79.3682926829268,16.5454991597214,58.0138895625701,157.4,45.15,5.27
ESP,Spain,2002,1044295490089.67,248026066321.733,1.41259540475782,79.5682926829268,16.6200729849122,55.1021415309759,153.43,36.08,4.3
ESP,Spain,2003,1074990358774.14,262739246706.27,1.80845446818345,79.619512195122,16.7678896899523,53.4357897202258,143.55,54.93,5.75
ESP,Spain,2004,1108471271904.22,275211215101.859,1.7254663034483,79.8707317073171,17.1564974030851,54.4795182656074,171.55,44.55,3.72
ESP,Spain,2005,1147835587310.16,293135684306.382,1.68934904712031,80.1707317073171,17.3173354365051,54.6991667043772,172.71,50.21,2.46
ESP,Spain,2006,1194247574981.13,315532124074.674,1.69035255626114,80.8219512195122,17.3404140994412,56.0839263823216,139.04,51.36,5.2299999999999995
ESP,Spain,2007,1236446314615.43,328498538958.496,1.85108130845179,80.8731707317073,17.6727382067132,57.6269487657546,160.98000000000002,34.6,3.79
ESP,Spain,2008,1245931907237.16,314994818588.518,1.59533049906372,81.1756097560976,18.774181253326,55.8281315172523,144.97,37.93,4.65
ESP,Spain,2009,1198983535018.34,257144579465.201,0.88573598057307,81.4756097560976,20.5691572148855,46.8366899971109,165.17,52.2,4.7
ESP,Spain,2010,1200112046037.65,247180385118.813,0.460408305051304,81.6268292682927,20.5479299444365,52.6933699734019,130.11,44.07,6.29
ESP,Spain,2011,1192432281393.69,229219328964.844,0.355338396471428,82.4756097560976,20.5764066286762,58.5118228859632,171.54,47.92,3.6
ESP,Spain,2012,1158267740898.69,205710645933.38,0.0649259625617232,82.4268292682927,19.8836059940307,60.5540346961864,166.18,55.27,4.37
ESP,Spain,2013,1141735527746.35,198053520084.944,-0.361668780017733,83.0780487804878,19.8099355336898,61.6687726441327,154.67,45.86,5.65
ESP,Spain,2014,1159095455877.44,210490992213.912,-0.308309722343882,83.2292682926829,19.5517778062253,63.39926213895,150.28,40.08,4.98
ESP,Spain,2015,1206164777553.12,233675619407.422,-0.0827492378541321,82.8317073170732,19.3555953756375,63.5820412248232,167.16,54.58,3.73
ESP,Spain,2016,1241326362266.48,236096630119.364,0.0771658726133905,83.3292682926829,18.9554100877408,63.1886778507294,139.37,56.5,5.34
ESP,Spain,2017,1277275696051.09,248835160575.206,0.243134086570712,83.2829268292683,18.5432948383965,66.167446137857,180.28,60.029999999999994,3.77
ESP,Spain,2018,1307871701701.25,269589368984.058,0.451573724507016,83.4317073170732,18.5844642639135,67.0094103982921,130.93,48.91,5.86
ESP,Spain,2019,1333521400432.69,276464579455.753,0.716697775475724,83.8317073170732,18.7386237646665,66.3662250440692,164.4,51.56,5.09
ESP,Spain,2020,1187633217292.02,243479876517.658,0.510010189620998,82.2317073170732,21.8157054375876,59.4461280147076,148.29,51.92,4.42
ESP,Spain,2021,1267004457826.92,269048927473.664,0.178046695121711,83.1780487804878,21.0051364901244,66.524588943191,152.23,45.07,4.97
ESP,Spain,2022,1347716659731.45,283640848254.321,0.718854879160094,83.1341463414634,19.9317083168891,78.4657338703054,151.25,66.83,4.36
ESP,Spain,2023,1380882052539.27,279660188154.547,1.17836618688432,83.9341463414634,19.470863508931,71.7976366055733,180.42,57.56,4.59
ESP,Spain,2024,1428595035672.37,292685142157.484,1.02121260938381,83.8878048780488,18.387560497621134,69.9502612382631,151.18,52.47,6.09
FRA,France,1960,510927948958.609,122608049248.021,1.0006303535049355,69.8682926829268,14.8219627520988,28.4417854117748,84.51,1.36,6.8
FRA,France,1961,536200619107.149,127262423052.493,1.03446883809664,70.1170731707317,15.1959087177154,27.9140988990336,135.68,8.16,4.76
FRA,France,1962,572963952580.446,139221416759.577,1.00427968918453,70.3146341463415,15.523791013658,26.338498506988,116.93,6.82,5.08
FRA,France,1963,607933884141.28,148506636833.619,1.00353599767787,70.5146341463415,15.910048127659,26.3902362845637,103.99,1.89,5.16
FRA,France,1964,647952997536.6,167685969584.956,1.06620875015002,70.6634146341463,15.9366969254377,27.2967488057432,114.78,7.83,4.5600000000000005
FRA,France,1965,679305823933.8,172868196705.799,0.959388414203965,70.8121951219512,15.9603597531436,27.2492470038124,80.61,1.79,7.18
FRA,France,1966,714382070500.882,187906055913.52,0.866189192765792,70.9609756097561,16.0460047866955,27.9096678363966,82.8,2.36,6.29
FRA,France,1967,748685060225.257,198624050579.66,0.813893398089106,71.1609756097561,16.2737372214484,27.9884877710696,99.08,4.93,5.02
FRA,France,1968,782705445711.669,209786558805.208,0.766314047828995,71.309756097561,16.7217209984103,28.3406280322894,92.27,3.11,6.36
FRA,France,1969,838227806923.227,233460068990.043,0.824238754775053,71.4585365853659,16.8949492918091,30.4363166891717,90.3,4.09,6.14
FRA,France,1970,890199392705.707,245698256111.293,0.910071021991229,71.6585365853659,17.12982783585,32.8978319535508,84.32,3.4299999999999997,5.55
FRA,France,1971,937321618883.858,252292239893.054,0.942308081213309,71.9073170731707,17.4946016739842,33.4786065274459,101.82,5.24,6.3100000000000005
FRA,France,1972,979633325317.947,265047509948.031,0.877674176847892,72.1073170731707,17.5547837655959,33.9689642458417,94.46,1.44,6.72
FRA,France,1973,1040317535197.25,288273474135.626,0.808254039339957,72.3560975609756,17.7657210210453,35.9979665469989,106.36,8.02,5.03
FRA,France,1974,1086244576613.68,296779985087.835,0.661593218642967,72.6048780487805,18.2065600151275,44.2144498621351,83.43,4.04,6.03
FRA,France,1975,1075972943434.03,252707579309.184,0.475700887805125,72.8536585365854,19.7698547282357,38.3696751774209,103.71,7.29,4.78
FRA,France,1976,1122643877509.26,276177079624.716,0.424132385282009,73.1024390243903,20.0911701403887,41.3695542154604,119.8,13.24,5.87
FRA,France,1977,1162544388757.55,279015859702.535,0.467415655328551,73.3512195121951,20.3548978109107,42.361582746312,87.63,0.15000000000000002,6.37
FRA,France,1978,1208457476980.2,280378783657.681,0.453327774115543,73.6024390243903,20.7519763235168,41.1188563628231,106.94,2.17,5.18
FRA,France,1979,1253113736480.6,295544214387.98,0.448113600779868,73.8512195121951,20.6522031196688,42.6375432012829,88.25,1.84,6.59
FRA,France,1980,1274121102725.16,304081467985.794,0.533919142662461,74.0512195121951,21.2509306222379,45.2426904107299,81.5,2.33,5.31
FRA,France,1981,1289261671631.73,280697085063.194,0.593754110995282,74.3,21.9803625688911,47.3463750243705,90.85,3.28,8.49
FRA,France,1982,1320752051528.69,290385410235.217,0.365202345952973,74.5,22.4597013935932,47.1430337256332,96.99,5.82,7.39
FRA,France,1983,1337420703409.51,271576557733.464,0.538875770120835,74.8,22.6182749465078,46.9844451630132,117.77,10.33,5.95
FRA,France,1984,1358946108004.79,269766296914.722,0.488491581974165,75,22.7730618029772,49.4016956923205,103.69,5,5.82
FRA,France,1985,1380268983033.81,275670035105.881,0.499845780185524,75.3,22.8282833942538,48.8838798836634,113.95,4.54,3.98
FRA,France,1986,1413251000995.92,294734762620.542,0.511141505762455,75.6,22.4962737111015,42.5039101426742,89.34,6.28,6.44
FRA,France,1987,1449327712381.84,309626228277.765,0.543092054847426,75.8,22.3337328835311,42.0234951539124,93.97,7.25,6.63
FRA,France,1988,1519101594974.65,339545932995.104,0.578107856832589,76.1,21.8693616502998,43.2246223742353,98.76,3.57,5.6
FRA,France,1989,1586020591645.5,367855308656.955,0.596976456799538,76.3487804878049,21.3132285046722,46.0051158705752,119.45,7.12,3.88
FRA,France,1990,1630899060963.07,382691772165.918,0.547228307056949,76.6,21.3629677651223,44.5862869486888,115.05,12.19,5.0600000000000005
FRA,France,1991,1651067777785.17,371266382950.403,0.502041652701803,76.8487804878049,21.8324524649692,44.9537001550562,122.21,8.23,4.04
FRA,France,1992,1676098974378.87,359361868557.469,0.498024782624795,77.1,22.4482751517868,43.963354493583,107.08,7.89,6.32
