Code,Name,Year,GDP,emp,cn,USDfx,hd30,cdd,r20mm,media_hd30,classe_clima
ESP,Spain,1981,882033.75,12.3697538375855,2886832.5,0.555255,7.517499999999998,15.433125000000018,-0.6115624999999998,37.2664,Mite
ESP,Spain,1982,893028,12.2641429901123,2748320,0.661682,4.370909090909091,1.8842424242424445,-0.04030303030303095,37.2664,Mite
ESP,Spain,1983,908835.5,12.2230005264282,2565062,0.863794,5.649705882352944,21.813235294117646,-0.5147058823529402,37.2664,Mite
ESP,Spain,1984,925055.4375,11.9513025283813,2442127,0.966864,2.622571428571426,4.044285714285735,-0.09200000000000053,37.2664,Mite
ESP,Spain,1985,946529.9375,11.826114654541,2425212,1.021478,13.419166666666666,8.491666666666674,-0.6533333333333324,37.2664,Mite
ESP,Spain,1986,977323.6875,12.0880928039551,2527066,0.841331,7.179729729729729,-10.428648648648648,-1.0248648648648642,37.2664,Mite
ESP,Spain,1987,1031536.9375,12.6487503051758,2673021.25,0.741476,7.818421052631578,-10.095789473684192,0.6768421052631588,37.2664,Mite
ESP,Spain,1988,1084086.875,13.0674314498901,2869114.75,0.700631,4.422051282051282,14.288205128205137,-0.7241025641025631,37.2664,Mite
ESP,Spain,1989,1136416,13.5120267868042,3116468.75,0.712169,9.410749999999997,-7.986999999999995,1.1757500000000007,37.2664,Mite
ESP,Spain,1990,1179388.5,13.9969367980957,3393157.75,0.612496,9.532439024390245,0.83219512195123,-1.935853658536585,37.2664,Mite
ESP,Spain,1991,1209415.625,14.1776113510132,3693913.75,0.625334,15.367619047619051,7.128333333333359,-0.8257142857142856,37.2664,Mite
ESP,Spain,1992,1220653.875,13.9842557907105,4001988,0.615135,2.6153488372093037,15.020697674418614,0.3558139534883722,37.2664,Mite
ESP,Spain,1993,1208062.75,13.5949850082397,4287405.5,0.766865,0.5036363636363639,11.542272727272746,-1.108409090909091,37.2664,Mite
ESP,Spain,1994,1236853.25,13.5356588363647,4552563.5,0.804339,16.498666666666665,26.29466666666667,-0.8784444444444448,37.2664,Mite
ESP,Spain,1995,1270959.5,13.8005857467651,4791202.5,0.749498,2.512826086956519,8.623043478260882,-0.44847826086956566,37.2664,Mite
ESP,Spain,1996,1304098.5,14.0062837600708,4974921,0.76104,0.775957446808512,-22.742553191489336,2.3797872340425528,37.2664,Mite
ESP,Spain,1997,1350880.5,14.536865234375,4964001,0.880253,-4.694166666666668,-10.763541666666669,1.9777083333333332,37.2664,Mite
ESP,Spain,1998,1408995.125,15.1839599609375,4996796,0.897408,11.19265306122449,26.28877551020409,-1.804693877551021,37.2664,Mite
ESP,Spain,1999,1471115.75,15.8899917602539,5036082.5,0.939577,9.488999999999995,-3.783999999999992,-0.49460000000000015,37.2664,Mite
ESP,Spain,2000,1547623.25,16.7095985412598,5062581,1.085898,12.234313725490196,8.21176470588236,-0.4064705882352948,37.2664,Mite
ESP,Spain,2001,1608276,17.2715892791748,4899883,1.117515,13.332884615384614,6.945576923076942,0.6115384615384603,37.2664,Mite
ESP,Spain,2002,1652591.375,17.6519527435303,5042006.5,1.060945,4.18245283018868,2.919433962264179,-0.35169811320754807,37.2664,Mite
ESP,Spain,2003,1701165.75,18.2189865112305,5356534.5,0.885756,22.605925925925924,-6.831666666666649,1.077962962962962,37.2664,Mite
ESP,Spain,2004,1754149,18.9272861480713,5923882,0.804856,12.00363636363636,20.78345454545456,-0.9347272727272736,37.2664,Mite
ESP,Spain,2005,1816442.875,19.6944122314453,6430453,0.805111,17.348214285714285,21.551607142857165,-2.1555357142857146,37.2664,Mite
ESP,Spain,2006,1889889.5,20.5240821838379,8084798,0.797168,18.17368421052632,-11.905789473684225,0.6036842105263149,37.2664,Mite
ESP,Spain,2007,1956668.75,21.1619625091553,9786449,0.730754,1.3893103448275923,9.86120689655175,-0.821896551724139,37.2664,Mite
ESP,Spain,2008,1971679.625,21.1621417999268,10438100,0.683499,4.63932203389831,-6.044576271186429,0.03745762711864398,37.2664,Mite
ESP,Spain,2009,1897384.25,19.8330078125,10865542,0.718958,18.594166666666673,13.9195,0.08599999999999941,37.2664,Mite
ESP,Spain,2010,1899170,19.4772911071777,11383080,0.755868,10.29262295081967,-20.793934426229495,1.6485245901639338,37.2664,Mite
