Code,Name,Year,hd30_ssp245,cdd_ssp245,r20mm_ssp245,hd30_ssp370,cdd_ssp370,r20mm_ssp370
GBR,United Kingdom,2045,0.059677419354838696,0.5135483870967743,-0.04677419354838719,0.004193548387096749,0.22516129032257837,0.1964516129032261
ARE,United Arab Emirates,2045,7.87548387096777,-1.344193548387068,-0.05064516129032259,4.057096774193582,15.379354838709673,0.0764516129032258
USA,United States of America,2045,7.966451612903228,0.12870967741935146,0.06451612903225712,7.35193548387096,-0.9083870967741952,0.2877419354838713
VEN,R. B. de Venezuela,2045,19.727741935483863,3.337096774193544,-0.414516129032263,26.252258064516155,3.898064516129029,0.10419354838709971
VNM,Vietnam,2045,10.42483870967743,-1.9229032258064507,2.1990322580645163,14.883225806451634,-2.9367741935483807,0.6267741935483926
DZA,Algeria,2046,5.745312500000011,-2.699374999999975,-0.050312499999999996,6.840000000000032,2.8331249999999955,0.011562500000000003
ARG,Argentina,2046,4.472187500000004,-1.2890625,0.31281249999999616,5.127187500000019,0.783437499999998,0.08812499999999979
AUS,Australia,2046,9.442812499999945,2.5962499999999977,0.26187499999999897,12.526250000000033,9.997187499999995,-0.4034374999999999
BGD,Bangladesh,2046,22.035624999999953,0.12718750000001222,-1.6059374999999854,11.403437499999967,0.595937499999998,-0.07000000000000384
BRA,Brazil,2046,28.912187500000016,4.087499999999999,0.21781250000000263,24.587500000000006,1.5128125000000026,0.7934375000000031
KHM,Cambodia,2046,16.994687500000055,0.6959375000000136,-0.9346875000000008,13.599375000000009,0.2284375000000054,0.24437499999999623
CAN,Canada,2046,0.9293749999999998,-1.234375000000007,0.2590625000000002,1.0646875000000002,0.031875000000002984,0.2137500000000001
CHN,China,2046,5.384687500000005,-1.5218750000000085,0.2049999999999983,6.157812499999999,-1.016562499999985,0.21499999999999986
COL,Colombia,2046,31.5090625,1.2103124999999988,1.2437499999999986,30.92500000000001,0.48937499999999723,0.8846874999999983
ECU,Ecuador,2046,27.879062500000003,-0.421875,1.8628125000000004,25.650312500000013,-0.8731249999999999,1.5062499999999943
